customerID,Churn,snapdate,Contract,PaperlessBilling,PaymentMethod,AutoRenewal,BillingCycle,DiscountApplied,LoyaltyProgramMember,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,gender,SeniorCitizen,Partner,Dependents,EducationLevel,HouseholdSize,EmploymentStatus,AnnualIncomeBracket,MonthlyCharges,AverageDataUsage,AppLoginFrequency,CustomerSatisfactionScore
0280-XJGEX,Yes,2024-06-01,Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,male,0.0,No,No,Bachelor,3.0,Retired,>150k,103.7,314.52,0.0,2.0
7310-EGVHZ,No,2024-06-01,Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,male,0.0,No,No,College,1.0,Self-employed,60–100k,20.2,75.41,0.0,3.0
7495-OOKFY,Yes,2024-06-01,Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,No, Yes  ,Yes,Fiber optic,No,Yes,No,No,YES ,No,Yes,Yes,Yes,No,female,1.0,Yes,No,College,2.0,Retired,100–150k,80.65,246.35,0.0,2.0
8028-PNXHQ,No,2024-06-01,Two year,Yes,Bank transfer (automatic),Yes,Semiann,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,male,0.0,Yes,Yes,College,4.0,Self-employed,60–100k,24.25,5.39,0.0,3.0
6067-NGCEU,No,2024-06-01,Month-to-month,Yes, Credit card (automatic)  ,Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,female,0.0,No,No,Bachelor,1.0,Retired,>150k,111.05,323.8,4.0,1.0
4846-WHAFZ,Yes,2024-06-01,Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,No,Yes,No,female,1.0,Yes,No,College,2.0,Retired,100–150k,76.5,156.66,0.0,1.0
9073-ZZIAY,No,2024-06-01,Two year,No,Electronic check,No,Monthly,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,male,0.0,Yes,Yes,College,2.0,Self-employed,100–150k,86.1,189.42,8.0,2.0
0691-JVSYA,Yes,2024-06-01,One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,female,0.0,Yes,No,Bachelor,2.0,Retired,>150k,94.85,323.84,0.0,2.0
9680-NIAUV,No,2024-06-01,Two year,No,Credit card (automatic),Yes,Monthly,No,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,female,0.0,Yes,Yes,Bachelor,7.0,Self-employed,>150k,109.7,373.73,3.0,1.0
4709-LKHYG,No,2024-06-01,One year,No,Electronic check,Yes,Monthly,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,female,0.0,Yes,Yes,College,2.0,Employed,60–100k,20.0,0.0,0.0,3.0
7083-MIOPC,No,2024-06-01,Two year,No,Credit card (automatic),No,Monthly,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,female,0.0,No,No,College,2.0,Self-employed,60–100k,20.25,42.1,3.0,3.0
4716-HHKQH,No,2024-06-01,Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,male,1.0,Yes,No,Bachelor,3.0,Retired,>150k,0.0,281.9,7.0,2.0
0219-YTZUE,Yes,2024-06-01,Month-to-month, Yes  ,Bank transfer (automatic),Yes,Monthly,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,male,0.0,Yes,Yes,Bachelor,3.0,Retired,>150k,84.8,254.64,4.0,3.0
2805-EDJPQ,No,2024-06-01,One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,female,0.0,Yes,Yes,Bachelor,2.0,Retired,>150k,99.75,305.76,0.0,2.0
9967-ATRFS,No,2024-06-01,Month-to-month,No,Mailed check,No,Monthly,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,female,0.0,No,No,College,1.0,Employed,60–100k,19.9,53.81,0.0,3.0
2957-LOLHO,Yes,2024-06-01,Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,Yes,No,DSL,No,No,No,No,No,No,No,Yes,No,No,male,0.0,No,No,College,1.0,Self-employed,60–100k,45.4,138.39,1.0,3.0
0256-LTHVJ,Yes,2024-06-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,No,No,No,No,female,0.0,Yes,Yes,Bachelor,4.0,Self-employed,>150k,81.05,235.08,2.0,1.0
4104-PVRPS,No,2024-06-01,Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,Yes,No,DSL,Yes,No,No,Yes,No,No,No,Yes,Yes,No,male,0.0,Yes,No,College,2.0,Self-employed,60–100k,53.6,135.76,5.0,3.0
