customerID,Churn,snapdate,Contract,PaperlessBilling,PaymentMethod,AutoRenewal,BillingCycle,DiscountApplied,LoyaltyProgramMember,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,gender,SeniorCitizen,Partner,Dependents,EducationLevel,HouseholdSize,EmploymentStatus,AnnualIncomeBracket,MonthlyCharges,AverageDataUsage,AppLoginFrequency,CustomerSatisfactionScore
7590-VHVEG,No,2023-03-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,No,No phone service,DSL,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,female,0.0,Yes,No,College,3.0,Self-employed,60–100k,29.85,122.91,2.0,3.0
8865-TNMNX,No,2023-03-01,One year,No,Mailed check,No,Quarter,No,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Yes,No,Yes,Yes,male,0.0,Yes,Yes,College,4.0,Employed,60–100k,49.55,112.9,9.0,2.0
0434-CSFON,No,2023-03-01,Month-to-month,Yes,Electronic check,No,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,female,0.0,Yes,No,Bachelor,2.0,Retired,>150k,100.5,375.39,0.0,2.0
5919-TMRGD,Yes,2023-03-01,Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,No,Yes,Yes,No,female,0.0,No,Yes,Bachelor,2.0,Self-employed,>150k,79.35,312.8,1.0,1.0
6380-ARCEH,No,2023-03-01,Month-to-month,No,Mailed check,No,Monthly,Yes,No,Yes,No,No,No internet service, No internet service  ,No internet service,No internet service,No internet service,No internet service,No,No,No,No,male,0.0,No,No,College,1.0,Employed,60–100k,20.2,0.0,0.0,2.0
1091-SOZGA,No,2023-03-01,One year,Yes,Credit card (automatic),No,Semiann,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,female,0.0,Yes,Yes,Bachelor,4.0,Retired,>150k,99.8,362.79,3.0,2.0
6317-YPKDH,Yes,2023-03-01,Month-to-month,No,Bank transfer (automatic),Yes,Monthly,No,No,No,No phone service,DSL,No,Yes,No,No,No,No,Yes,Yes,No,Yes,female,0.0,No,No,College,1.0,Self-employed,60–100k,29.95,149.15,4.0,ORPH-7e3eac54
9323-HGFWY,No,2023-03-01,One year,Yes,Credit card (automatic),Yes,Annual,Yes,Yes,Yes,No,Fiber optic,Yes,no,No,Yes,YES ,Yes,Yes,Yes,Yes,No,female,0.0,Yes,No,Bachelor,2.0,Retired,>150k,101.9,333.94,3.0,2.0
7273-TEFQD,Yes,2023-03-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,No,No phone service,DSL,No,No,Yes,No,No,Yes,No,No,Yes,Yes,male,1.0,No,No,HighSchool,1.0,Retired,60–100k,41.15,129.87,0.0,1.0
0314-TKOSI,No,2023-03-01,Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,female,0.0,No,No,College,3.0,Self-employed,60–100k,55.15,178.79,3.0,2.0
5020-ZSTTY,Yes,2023-03-01,One year,No,Bank transfer (automatic),No,Semiann,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,female,1.0,No,No,College,1.0,Retired,100–150k,82.45,185.41,7.0,UNK-1de8d7f4
