customerID,Churn,snapdate,Contract,PaperlessBilling,PaymentMethod,AutoRenewal,BillingCycle,DiscountApplied,LoyaltyProgramMember,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,gender,SeniorCitizen,Partner,Dependents,EducationLevel,HouseholdSize,EmploymentStatus,AnnualIncomeBracket,MonthlyCharges,AverageDataUsage,AppLoginFrequency,CustomerSatisfactionScore
4929-XIHVW,No,2024-09-01,Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,male,1.0,Yes,No,College,2.0,Retired,100–150k,95.5,275.54,6.0,1.0
2424-WVHPL,No,2024-09-01,Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,Yes,No,Fiber optic, No  ,No,No,Yes,No,No,No,Yes,No,Yes,male,1.0,No,No,College,1.0,Retired,100–150k,74.7,185.36,1.0,3.0
4549-ZDQYY,No,2024-09-01,One year,No,Credit card (automatic),No,Monthly,No,Yes,Yes,No,DSL,Yes, No  ,Yes,Yes,No,No,Yes,No,No,Yes,female,0.0,No,No,College,1.0,Self-employed,100–150k,57.95,114.78,3.0,4.0
6207-WIOLX,Yes,2024-09-01,Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,female,0.0,Yes,Yes,College,2.0,Self-employed,100–150k,58.6,244.18,3.0,2.0
1875-QIVME,Yes,2024-09-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,female,0.0,Yes,No,Bachelor,2.0,Retired,>150k,104.4,316.7,2.0,2.0
4195-NZGTA,No,2024-09-01,Month-to-month,No,Electronic check,No,Monthly,Yes,No,No,No phone service,DSL,No,No,No,No,No,No,Yes,No,No,No,female,0.0,No,No,College,2.0,Employed,60–100k,25.25,121.89,5.0,3.0
3316-UWXUY,No,2024-09-01,Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,Yes,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,male,0.0,No,No,Bachelor,1.0,Retired,>150k,93.5,317.47,0.0,3.0
4629-NRXKX,Yes,2024-09-01,Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,No,No,female,0.0,Yes,Yes,Bachelor,3.0,Self-employed,>150k,70.4,271.79,2.0,ORPH-0ab631d8
7633-MVPUY,No,2024-09-01,Two year,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,yes,No,Yes,Yes,male,0.0,Yes,No,College,2.0,Self-employed,100–150k,59.75,98.7,4.0,3.0
3727-OWVYD,No,2024-09-01,One year,No,Mailed check,No,Quarter,No,Yes,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,male,0.0,No,No,College,1.0,Self-employed,100–150k,61.2,129.22,2.0,3.0
9498-FIMXL,No,2024-09-01,One year,Yes,Mailed check,Yes,Monthly,Yes,Yes,Yes,No,No,No internet service,YES ,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,female,0.0,No,No,College,1.0,Self-employed,60–100k,19.2,48.87,4.0,4.0
4163-NCJAK,No,2024-09-01,One year,Yes,Bank transfer (automatic),No,Semiann,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,female,0.0,Yes,No,College,3.0,Self-employed,60–100k,24.45,0.0,1.0,4.0
7781-HVGMK,No,2024-09-01,Two year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,female,0.0,Yes,Yes,College,3.0,Retired,100–150k,65.2,232.13,5.0,2.0
5760-WRAHC,No,2024-09-01,Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,Yes,No,DSL,Yes,No,Yes,yes,No,Yes,Yes,No,Yes,Yes,female,1.0,No,No,College,1.0,Retired,60–100k,69.75,96.45,8.0,3.0
3583-EKAPL,Yes,2024-09-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,No,DSL,No,No,No,No,No,Yes,No,No,No,Yes,male,0.0,No,No,College,2.0,Self-employed,60–100k,55.0,114.32,4.0,4.0
8535-SFUTN,No,2024-09-01,Month-to-month,Yes,Electronic check,No,Monthly,No,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,male,0.0,No,No,Bachelor,1.0,Retired,>150k,106.45,350.92,4.0,1.0
