customerID,Churn,snapdate,Contract,PaperlessBilling,PaymentMethod,AutoRenewal,BillingCycle,DiscountApplied,LoyaltyProgramMember,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,gender,SeniorCitizen,Partner,Dependents,EducationLevel,HouseholdSize,EmploymentStatus,AnnualIncomeBracket,MonthlyCharges,AverageDataUsage,AppLoginFrequency,CustomerSatisfactionScore
5129-JLPIS,No,2023-09-01,Month-to-month,Yes,Electronic check,No,Monthly,Yes,Yes,Yes,No,Fiber optic,Yes, No  ,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,male,0.0,No,No,Bachelor,1.0,Retired,>150k,105.5,354.45,3.0,2.0
4667-QONEA,No,2023-09-01,One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes, No  ,No,Yes,female,1.0,Yes,Yes,College,3.0,Retired,100–150k,74.85,153.93,10.0,2.0
5630-AHZIL,No,2023-09-01,Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,No,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,female,0.0,No,Yes,College,1.0,Retired,100–150k,64.5,185.85,2.0,3.0
2372-HWUHI,Yes,2023-09-01,Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,Yes,No,DSL,No,No,No,No,No,No,No,Yes,Yys,Yes,male,0.0,No,No,College,1.0,Employed,60–100k,44.35,130.25,11.0,2.0
5918-VUKWP,No,2023-09-01,One year,No,Bank transfer (automatic),Yes,Monthly,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,female,0.0,No,No,College,1.0,Self-employed,60–100k,20.55,23.32,0.0,3.0
2146-EGVDT,No,2023-09-01,Two year,No,Credit card (automatic),No,Annual,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,No,male,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,19.3,103.14,2.0,2.0
2504-DSHIH,No,2023-09-01,Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,No,Yes,male,1.0,Yes,No,College,2.0,Retired,100–150k,86.8,269.48,6.0,2.0
3675-YDUPJ,No,2023-09-01,Month-to-month,Yes,Mailed check,Yes,Monthly,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,male,0.0,No,No,College,2.0,Self-employed,60–100k,19.85,41.31,0.0,2.0
5940-AHUHD,Yes,2023-09-01,Month-to-month,No,Mailed check,Yes,Monthly,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,No,Yes,male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,70.6,266.32,3.0,2.0
2868-SNELZ,Yes,2023-09-01,Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Yes,No,No,No,female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,80.6,228.93,3.0,1.0
0623-IIHUG,Yes,2023-09-01,Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,No,No phone service,DSL,Yes,No,No,No,Yes,No,Yes,YES ,No,No,female,1.0,No,No,HighSchool,1.0,Retired,60–100k,41.9,137.29,0.0,2.0
1996-DBMUS,No,2023-09-01,Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,Yes,No,female,1.0,Yes,No,College,4.0,Retired,100–150k,70.65,229.06,0.0,2.0
6048-NJXHX,No,2023-09-01,Two year,Yes,Electronic check, No  ,Quarter,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,male,0.0,Yes,No,College,2.0,Self-employed,60–100k,19.75,11.0,4.0,2.0
6579-JPICP,No,2023-09-01,Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No, No  ,No,male,0.0,No,No,College,1.0,Employed,60–100k,20.4,45.06,2.0,3.0
5301-GAUUY,Yes,2023-09-01,Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,male,0.0,No,No,Bachelor,1.0,Retired,>150k,80.35,287.2,4.0,2.0
9244-ZVAPM,No,2023-09-01,Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,Yes,No,DSL,No,No,No,No,No,No,Yes,Yes,No,No,male,0.0,No,No,College,1.0,Employed,60–100k,45.6,158.38,1.0,3.0
7138-GIRSH,No,2023-09-01,Two year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,male,0.0,No,No,College,1.0,Self-employed,100–150k,69.5,189.18,2.0,3.0
9411-TPQQV,No,2023-09-01,One year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,female,0.0,No,No,College,1.0,Self-employed,60–100k,54.55,193.26,10.0,2.0
4160-AMJTL,Yes,2023-09-01,Month-to-month,No,Electronic check,Yes,Monthly,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,female,1.0,No,No,HighSchool,1.0,Retired,60–100k,19.65,0.0,0.0,2.0
0823-HSCDJ,Yes,2023-09-01,Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,No,No phone service,DSL,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,male,1.0,No,No,HighSchool,2.0,Retired,60–100k,49.15,187.22,6.0,2.0
2682-KEVRP,No,2023-09-01,One year,Yes,Mailed check,No,Monthly,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,female,1.0,No,No,HighSchool,1.0,Retired,60–100k,20.05,0.0,0.0,2.0
2037-XJFUP,Yes,2023-09-01,One year,Yes,Electronic check,No,Quarter,No,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,male,0.0,Yes,No,Bachelor,2.0,Self-employed,>150k,95.8,359.45,0.0,2.0
4257-GAESD,No,2023-09-01,Month-to-month,No,Credit card (automatic),Yes,Monthly,No,Yes,No,No phone service,DSL,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,female,0.0,No,No,College,1.0,Self-employed,60–100k,45.0,217.57,7.0,2.0
