customerID,Churn,snapdate,Contract,PaperlessBilling,PaymentMethod,AutoRenewal,BillingCycle,DiscountApplied,LoyaltyProgramMember,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,gender,SeniorCitizen,Partner,Dependents,EducationLevel,HouseholdSize,EmploymentStatus,AnnualIncomeBracket,MonthlyCharges,AverageDataUsage,AppLoginFrequency,CustomerSatisfactionScore
8091-TTVAX,No,2024-07-01,One year,No,Credit card (automatic),Yes,Quarter,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No, Yes  ,Yes,Yes,Yes,No,No,male,0.0,Yes,No,Bachelor,3.0,Self-employed,>150k,100.35,367.25,1.0,2.0
5712-AHQNN,No,2024-07-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,female,0.0,No,No,Bachelor,2.0,Self-employed,>150k,91.65,334.13,4.0,3.0
8587-XYZSF,No,2024-07-01,Two year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,Yes,No,DSL,No,No,No,Yes,No,No,Yes,Yes,No,Yes,male,0.0,No,No,College,1.0,Self-employed,60–100k,50.55,138.45,4.0,4.0
1679-JRFBR,No,2024-07-01,One year,Yes,Credit card (automatic),Yes,Semiann,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,female,0.0,Yes,Yes,Bachelor,3.0,Self-employed,>150k,108.15,354.44,4.0,3.0
6727-IOTLZ,No,2024-07-01,Two year,No,Mailed check,No,Monthly,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,male,0.0,Yes,No,College,2.0,Self-employed,100–150k,81.95,215.3,9.0,2.0
8937-RDTHP,Yes,2024-07-01,Month-to-month,Yes,Mailed check,Yes,Monthly,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,No,No,male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,84.6,304.73,3.0,2.0
9514-JDSKI,Yes,2024-07-01,Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,No,No phone service,DSL,No,Yes,No,No,Yes,No,Yes,No,No,No,male,1.0,Yes,No,HighSchool,3.0,Retired,60–100k,40.2,107.6,1.0,2.0
2294-SALNE,No,2024-07-01,One year,No,Mailed check,No,Monthly,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,male,0.0,Yes,Yes,Bachelor,4.0,Self-employed,>150k,86.8,280.73,3.0,ORPH-8986f6f1
1557-EMYVT,No,2024-07-01,Two year,No,Credit card (automatic),Yes,Annual,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,female,0.0,No,No,Bachelor,1.0,Retired,>150k,115.05,377.09,0.0,2.0
2379-GYFLQ,No,2024-07-01,One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No, Yes  ,Yes,No,Yes,No,Yes,Yes,Yes,Yes,female,0.0,No,No,Bachelor,2.0,Retired,>150k,94.9,335.29,2.0,3.0
2181-UAESM,No,2024-07-01,Month-to-month,No,Electronic check,No,Monthly,Yes,No,Yes,No,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,No,male,0.0,No,No,College,1.0,Self-employed,60–100k,53.45,121.24,4.0,2.0
8847-GEOOQ,No,2024-07-01,Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes, No  ,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,male,0.0,Yes,No,College,2.0,Retired,100–150k,60.2,249.27,0.0,3.0
1304-BCCFO,No,2024-07-01,Month-to-month,Yes, Mailed check  ,Yes,Monthly,Yes,Yes,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,male,0.0,Yes,No,College,2.0,Self-employed,100–150k,70.05,150.4,3.0,2.0
4234-XTNEA,No,2024-07-01,Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,79.95,350.79,1.0,1.0
5756-JYOJT,No,2024-07-01,One year,No,Credit card (automatic),No,Semiann,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,female,0.0,No,No,College,1.0,Self-employed,100–150k,64.9,166.93,0.0,3.0
0459-SPZHJ,No,2024-07-01,Two year,No,Credit card (automatic),Yes,Quarter,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,male,0.0,Yes,Yes,College,4.0,Self-employed,100–150k,83.5,243.44,2.0,2.0
