customerID,Churn,snapdate,Contract,PaperlessBilling,PaymentMethod,AutoRenewal,BillingCycle,DiscountApplied,LoyaltyProgramMember,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,gender,SeniorCitizen,Partner,Dependents,EducationLevel,HouseholdSize,EmploymentStatus,AnnualIncomeBracket,MonthlyCharges,AverageDataUsage,AppLoginFrequency,CustomerSatisfactionScore
3655-SNQYZ,No,2023-06-01,Two year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,female,0.0,Yes,Yes,Bachelor,3.0,Retired,>150k,113.25,388.69,3.0,2.0
1658-BYGOY,Yes,2023-06-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,male,1.0,No,No,College,1.0,Retired,100–150k,95.45,291.5,0.0,1.0
2673-CXQEU,No,2023-06-01,two year,No,Electronic check,No,Monthly,No,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,female,1.0,No,No,Bachelor,1.0,Retired,>150k,110.5,237.04,3.0,1.0
8637-XJIVR,Yes,2023-06-01,Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,Yes,Yes,Fiber optic,Yes,No, No  ,No,No,No,Yes,Yes,Yes,No,female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,78.95,251.45,0.0,3.0
7799-LGRDP,No,2023-06-01,Two year,Yes,Credit card (automatic),Yes,Quarter,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,female,0.0,No,No,College,1.0,Self-employed,100–150k,25.7,30.57,0.0,3.0
1744-JHKYS,No,2023-06-01,Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,Yes,female,0.0,Yes,No,College,2.0,Employed,60–100k,24.7,18.74,2.0,2.0
2604-IJPDU,No,2023-06-01,UNK-8b4327cc,Yes, Electronic check  ,Yes,Monthly,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,female,0.0,Yes,No,Bachelor,2.0,Self-employed,>150k,96.55,329.27,7.0,2.0
1251-KRREG,Yes,2023-06-01,Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,Yes,Yes,DSL,No,Yes,No,No,No,No,No,No,No,Yes,male,0.0,No,No,College,1.0,Self-employed,60–100k,54.4,63.39,8.0,3.0
4111-BNXIF,No,2023-06-01,Two year,Yes,Electronic check,No,Quarter,Yes, Yes  ,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes, Yes  ,No,No,Yes,female,0.0,Yes,Yes,College,2.0,Self-employed,100–150k,59.55,168.66,5.0,2.0
5027-YOCXN,No,2023-06-01,One year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,male,0.0,Yes,Yes,Bachelor,3.0,Retired,>150k,110.05,388.9,2.0,2.0
4572-DVCGN,Yes,2023-06-01,Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,No,No,Yes,female,0.0,No,No,Bachelor,3.0,Retired,>150k,80.25,256.43,0.0,2.0
7156-MXBJE,No,2023-06-01,One year,No,Credit card (automatic),No,Monthly,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,female,0.0,No,No,College,1.0,Self-employed,100–150k,85.1,193.28,10.0,3.0
2977-CEBSX,No,2023-06-01,Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,female,0.0,No,No,College,1.0,Retired,100–150k,90.05,227.92,5.0,3.0
2320-SLKMB,No,2023-06-01,Month-to-month,Yes,Credit card (automatic),No,semiann,Yes,Yes,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,YeR,Yes,Yes,Yes,female,0.0,No,No,College,2.0,Self-employed,60–100k,44.45,183.44,6.0,3.0
8313-NDOIA,No,2023-06-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,female,0.0,No,No,Bachelor,1.0,Retired,>150k,104.15,346.72,6.0,3.0
2359-KMGLI,Yes,2023-06-01,Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Yes,No,No,male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,80.25,254.6,3.0,3.0
5348-CAGXB,No,2023-06-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Yes,No,Yes,No,male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,89.55,268.75,3.0,3.0
7207-RMRDB,Yes,2023-06-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,female,0.0,Yes,Yes,Bachelor,3.0,Retired,>150k,105.5,344.08,0.0,2.0
5183-SNMJQ,No,2023-06-01,Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,male,0.0,No,No,Bachelor,1.0,Retired,>150k,95.1,314.13,4.0,ORPH-c74868a1
2480-JZOSN,No,2023-06-01,Month-to-month,Yes,Mailed check,Yes,Monthly,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,Yes,female,0.0,Yes,No,College,2.0,Self-employed,60–100k,20.65,18.47,2.0,3.0
5575-TPIZQ,No,2023-06-01,Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,male,0.0,No,No,Bachelor,1.0,Retired,>150k,89.15,316.87,6.0,UNK-6a6e3002
